condition,area_frac,defense,model,metric,banana_rate
clean,0.0,none,resnet18,embed,0.015
clean,0.0,none,mobilenet_v3_large,embed,0.005
clean,0.0,none,efficientnet_b0,embed,0.0
clean,0.0,none,dinov2_vits14,embed,0.0
clean,0.0,none,clip_b32,embed,0.0
clean,0.0,none,siglip_b16,embed,0.0
clean,0.0,jpeg_q30,resnet18,embed,0.005
clean,0.0,jpeg_q30,mobilenet_v3_large,embed,0.005
clean,0.0,jpeg_q30,efficientnet_b0,embed,0.0
clean,0.0,jpeg_q30,dinov2_vits14,embed,0.0
clean,0.0,jpeg_q30,clip_b32,embed,0.0
clean,0.0,jpeg_q30,siglip_b16,embed,0.0
clean,0.0,blur_s2,resnet18,embed,0.005
clean,0.0,blur_s2,mobilenet_v3_large,embed,0.005
clean,0.0,blur_s2,efficientnet_b0,embed,0.0
clean,0.0,blur_s2,dinov2_vits14,embed,0.005
clean,0.0,blur_s2,clip_b32,embed,0.0
clean,0.0,blur_s2,siglip_b16,embed,0.0
clean,0.0,median_3,resnet18,embed,0.005
clean,0.0,median_3,mobilenet_v3_large,embed,0.005
clean,0.0,median_3,efficientnet_b0,embed,0.0
clean,0.0,median_3,dinov2_vits14,embed,0.0
clean,0.0,median_3,clip_b32,embed,0.0
clean,0.0,median_3,siglip_b16,embed,0.0
clean,0.0,seg_oracle,resnet18,embed,0.015
clean,0.0,seg_oracle,mobilenet_v3_large,embed,0.005
clean,0.0,seg_oracle,efficientnet_b0,embed,0.0
clean,0.0,seg_oracle,dinov2_vits14,embed,0.0
clean,0.0,seg_oracle,clip_b32,embed,0.0
clean,0.0,seg_oracle,siglip_b16,embed,0.0
clean,0.0,seg_blind,resnet18,embed,0.01
clean,0.0,seg_blind,mobilenet_v3_large,embed,0.0
clean,0.0,seg_blind,efficientnet_b0,embed,0.0
clean,0.0,seg_blind,dinov2_vits14,embed,0.0
clean,0.0,seg_blind,clip_b32,embed,0.0
clean,0.0,seg_blind,siglip_b16,embed,0.0
adversarial,0.12,none,resnet18,embed,0.74
adversarial,0.12,none,mobilenet_v3_large,embed,0.715
adversarial,0.12,none,efficientnet_b0,embed,0.88
adversarial,0.12,none,dinov2_vits14,embed,0.93
adversarial,0.12,none,clip_b32,embed,0.73
adversarial,0.12,none,siglip_b16,embed,0.6
adversarial,0.12,jpeg_q30,resnet18,embed,0.73
adversarial,0.12,jpeg_q30,mobilenet_v3_large,embed,0.68
adversarial,0.12,jpeg_q30,efficientnet_b0,embed,0.845
adversarial,0.12,jpeg_q30,dinov2_vits14,embed,0.935
adversarial,0.12,jpeg_q30,clip_b32,embed,0.735
adversarial,0.12,jpeg_q30,siglip_b16,embed,0.66
adversarial,0.12,blur_s2,resnet18,embed,0.73
adversarial,0.12,blur_s2,mobilenet_v3_large,embed,0.69
adversarial,0.12,blur_s2,efficientnet_b0,embed,0.815
adversarial,0.12,blur_s2,dinov2_vits14,embed,0.94
adversarial,0.12,blur_s2,clip_b32,embed,0.715
adversarial,0.12,blur_s2,siglip_b16,embed,0.645
adversarial,0.12,median_3,resnet18,embed,0.75
adversarial,0.12,median_3,mobilenet_v3_large,embed,0.74
adversarial,0.12,median_3,efficientnet_b0,embed,0.875
adversarial,0.12,median_3,dinov2_vits14,embed,0.935
adversarial,0.12,median_3,clip_b32,embed,0.745
adversarial,0.12,median_3,siglip_b16,embed,0.645
adversarial,0.12,seg_oracle,resnet18,embed,0.01
adversarial,0.12,seg_oracle,mobilenet_v3_large,embed,0.005
adversarial,0.12,seg_oracle,efficientnet_b0,embed,0.0
adversarial,0.12,seg_oracle,dinov2_vits14,embed,0.0
adversarial,0.12,seg_oracle,clip_b32,embed,0.015
adversarial,0.12,seg_oracle,siglip_b16,embed,0.0
adversarial,0.12,seg_blind,resnet18,embed,0.655
adversarial,0.12,seg_blind,mobilenet_v3_large,embed,0.625
adversarial,0.12,seg_blind,efficientnet_b0,embed,0.81
adversarial,0.12,seg_blind,dinov2_vits14,embed,0.905
adversarial,0.12,seg_blind,clip_b32,embed,0.715
adversarial,0.12,seg_blind,siglip_b16,embed,0.565
random_patch,0.12,none,resnet18,embed,0.01
random_patch,0.12,none,mobilenet_v3_large,embed,0.005
random_patch,0.12,none,efficientnet_b0,embed,0.0
random_patch,0.12,none,dinov2_vits14,embed,0.0
random_patch,0.12,none,clip_b32,embed,0.01
random_patch,0.12,none,siglip_b16,embed,0.0
random_patch,0.12,jpeg_q30,resnet18,embed,0.01
random_patch,0.12,jpeg_q30,mobilenet_v3_large,embed,0.005
random_patch,0.12,jpeg_q30,efficientnet_b0,embed,0.0
random_patch,0.12,jpeg_q30,dinov2_vits14,embed,0.0
random_patch,0.12,jpeg_q30,clip_b32,embed,0.02
random_patch,0.12,jpeg_q30,siglip_b16,embed,0.0
random_patch,0.12,blur_s2,resnet18,embed,0.005
random_patch,0.12,blur_s2,mobilenet_v3_large,embed,0.0
random_patch,0.12,blur_s2,efficientnet_b0,embed,0.005
random_patch,0.12,blur_s2,dinov2_vits14,embed,0.0
random_patch,0.12,blur_s2,clip_b32,embed,0.03
random_patch,0.12,blur_s2,siglip_b16,embed,0.005
random_patch,0.12,median_3,resnet18,embed,0.01
random_patch,0.12,median_3,mobilenet_v3_large,embed,0.005
random_patch,0.12,median_3,efficientnet_b0,embed,0.0
random_patch,0.12,median_3,dinov2_vits14,embed,0.0
random_patch,0.12,median_3,clip_b32,embed,0.015
random_patch,0.12,median_3,siglip_b16,embed,0.005
random_patch,0.12,seg_oracle,resnet18,embed,0.01
random_patch,0.12,seg_oracle,mobilenet_v3_large,embed,0.005
random_patch,0.12,seg_oracle,efficientnet_b0,embed,0.0
random_patch,0.12,seg_oracle,dinov2_vits14,embed,0.0
random_patch,0.12,seg_oracle,clip_b32,embed,0.02
random_patch,0.12,seg_oracle,siglip_b16,embed,0.0
random_patch,0.12,seg_blind,resnet18,embed,0.01
random_patch,0.12,seg_blind,mobilenet_v3_large,embed,0.005
random_patch,0.12,seg_blind,efficientnet_b0,embed,0.0
random_patch,0.12,seg_blind,dinov2_vits14,embed,0.0
random_patch,0.12,seg_blind,clip_b32,embed,0.015
random_patch,0.12,seg_blind,siglip_b16,embed,0.005
adversarial,0.25,none,resnet18,embed,0.93
adversarial,0.25,none,mobilenet_v3_large,embed,0.97
adversarial,0.25,none,efficientnet_b0,embed,0.975
adversarial,0.25,none,dinov2_vits14,embed,0.97
adversarial,0.25,none,clip_b32,embed,0.94
adversarial,0.25,none,siglip_b16,embed,0.795
adversarial,0.25,jpeg_q30,resnet18,embed,0.935
adversarial,0.25,jpeg_q30,mobilenet_v3_large,embed,0.97
adversarial,0.25,jpeg_q30,efficientnet_b0,embed,0.98
adversarial,0.25,jpeg_q30,dinov2_vits14,embed,0.97
adversarial,0.25,jpeg_q30,clip_b32,embed,0.92
adversarial,0.25,jpeg_q30,siglip_b16,embed,0.85
adversarial,0.25,blur_s2,resnet18,embed,0.97
adversarial,0.25,blur_s2,mobilenet_v3_large,embed,0.98
adversarial,0.25,blur_s2,efficientnet_b0,embed,0.97
adversarial,0.25,blur_s2,dinov2_vits14,embed,0.995
adversarial,0.25,blur_s2,clip_b32,embed,0.935
adversarial,0.25,blur_s2,siglip_b16,embed,0.92
adversarial,0.25,median_3,resnet18,embed,0.945
adversarial,0.25,median_3,mobilenet_v3_large,embed,0.975
adversarial,0.25,median_3,efficientnet_b0,embed,0.975
adversarial,0.25,median_3,dinov2_vits14,embed,0.97
adversarial,0.25,median_3,clip_b32,embed,0.945
adversarial,0.25,median_3,siglip_b16,embed,0.865
adversarial,0.25,seg_oracle,resnet18,embed,0.035
adversarial,0.25,seg_oracle,mobilenet_v3_large,embed,0.0
adversarial,0.25,seg_oracle,efficientnet_b0,embed,0.005
adversarial,0.25,seg_oracle,dinov2_vits14,embed,0.0
adversarial,0.25,seg_oracle,clip_b32,embed,0.05
adversarial,0.25,seg_oracle,siglip_b16,embed,0.03
adversarial,0.25,seg_blind,resnet18,embed,0.925
adversarial,0.25,seg_blind,mobilenet_v3_large,embed,0.965
adversarial,0.25,seg_blind,efficientnet_b0,embed,0.97
adversarial,0.25,seg_blind,dinov2_vits14,embed,0.965
